Chemical Name,CAS RN,Hazardous_Traits
(±) Tetrahydrofurfuryl (R)-2-[4-(6-chloroquinoxalin-2-yloxy)phenyloxy]propionate,119738-06-6,Reproductive Toxicity
"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one",36861-47-9,Endocrine Toxicity
"(1a,2a,3ß,6ß)-1,2,3,6-tetrahydro-3,6-methanophthalic anhydride",2746-19-2,Respiratory Toxicity
"(1R,3E,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",95342-41-9,Endocrine Toxicity
"(1R,3Z,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",852541-21-0,Endocrine Toxicity
"(1R,4E,9S)-4,11,11-Trimethyl-8-methylenebicyclo[7.2.0]undec-4-ene",87-44-5,Fragrance Allergen
"(1R,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",741687-98-9,Endocrine Toxicity
"(1S,3E,4R)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",852541-30-1,Endocrine Toxicity
"(1S,3S,5R,6R)-(4-nitrophenylmethyl)-1-dioxo-6-phenylacetamido-penam-3-carboxylate",54275-93-3,Respiratory Toxicity
"(1S,3Z,4R)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",852541-25-4,Endocrine Toxicity
"(1S,4R,6R,7R)-(4-nitrophenylmethyl)3-methylene-1-oxo-7-phenylacetamido-cepham-4-carboxylateido-penam-3-carboxylate",76109-32-5,Respiratory Toxicity
(2-chloroethyl)(3-hydroxypropyl)ammonium chloride,40722-80-3,Carcinogenicity
(2-chloroethyl)(3-hydroxypropyl)ammonium chloride,40722-80-3,Genotoxicity
"(2RS,3RS)-3-(2-chlorophenyl)-2-(4-fluorophenyl)-[(1H-1,2,4-triazol-1-yl)methyl]oxirane",133855-98-8,Reproductive Toxicity
"(3E)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",1782069-81-1,Endocrine Toxicity
(4-ethoxyphenyl)(3-(4-fluoro-3-phenoxyphenyl)propyl)dimethylsilane,105024-66-6,Reproductive Toxicity
"(6-(4-hydroxy-3-(2-methoxyphenylazo)-2-sulfonato-7-naphthylamino)-1,3,5-triazin-2,4-diyl)bis[(amino-1-methylethyl)ammonium] formate",108225-03-2,Carcinogenicity
(E)-3-[1-[4-[2-(dimethylamino)ethoxy]phenyl]-2-phenylbut-1-enyl]phenol,82413-20-5,Reproductive Toxicity
"(methylenebis(4,1-phenylenazo(1-(3-(dimethylamino)propyl)-1,2-dihydro-6-hydroxy-4-methyl-2-oxopyridine-5,3-diyl)))-1,1'-dipyridinium dichloride dihydrochloride",118658-99-4,Carcinogenicity
(R)-4-hydroxy-3-(3-oxo-1-phenylbutyl)-2-benzopyrone,5543-58-8,Reproductive Toxicity
(S)-4-hydroxy-3-(3-oxo-1-phenylbutyl)-2-benzopyrone,5543-57-7,Reproductive Toxicity
[µ-[carbonato(2-)-O:O’]]dihydroxy trinickel,65405-96-1,Carcinogenicity
[µ-[carbonato(2-)-O:O’]]dihydroxy trinickel,65405-96-1,Reproductive Toxicity
[µ-[carbonato(2-)-O:O’]]dihydroxy trinickel,65405-96-1,Respiratory Toxicity
"[1,1'-Biphenyl]-4,4'-diamine, N,N'-bis(2,4-dinitrophenyl)-3,3'-dimethoxy-",29398-96-7,Bioaccumulation
"[1,1'-Biphenyl]-4,4'-diamine, N,N'-bis(2,4-dinitrophenyl)-3,3'-dimethoxy-",29398-96-7,Environmental Persistence
"[1,1'-Biphenyl]-4-ol, 3,4'-bis(1,1-dimethylethyl)-",42479-88-9,Bioaccumulation
"[1,1'-Biphenyl]-4-ol, 3,4'-bis(1,1-dimethylethyl)-",42479-88-9,Environmental Persistence
"[2,6'-Bibenzothiazole]-7-sulfonic acid, 2'-(4-aminophenyl)-6-methyl-, diazotized, coupled with diazotized 4-aminobenzenesulfonic acid and resorcinol, sodium salts",91696-90-1,Bioaccumulation
"[2,6'-Bibenzothiazole]-7-sulfonic acid, 2'-(4-aminophenyl)-6-methyl-, diazotized, coupled with diazotized 4-aminobenzenesulfonic acid and resorcinol, sodium salts",91696-90-1,Environmental Persistence
"[3R-(3?,3a?,7?,8a?)]-1-(2,3,4,7,8,8a-hexahydro-3,6,8,8-tetramethyl-1H-3a,7-methanoazulen-5-yl)ethan-1-one",32388-55-9,Fragrance Allergen
[carbonato(2-)] Tetrahydroxytrinickel,12607-70-4,Carcinogenicity
[carbonato(2-)] Tetrahydroxytrinickel,12607-70-4,Reproductive Toxicity
[carbonato(2-)] Tetrahydroxytrinickel,12607-70-4,Respiratory Toxicity
"1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one; 1-(1,2,3,4,5,6,7,8-octahydro-2,3,5,5-tetramethyl-2-naphthyl)ethan-1-one; 1-(1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one; 1-(1,2,3,4,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one",54464-57-2,Fragrance Allergen
"1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one; 1-(1,2,3,4,5,6,7,8-octahydro-2,3,5,5-tetramethyl-2-naphthyl)ethan-1-one; 1-(1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one; 1-(1,2,3,4,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one", 54464-59-4,Fragrance Allergen
